id;route_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;condition_id
1;13;2025-10-26T20:28:22.360827338;;false;;\N;1
2;50;2025-10-26T20:28:22.362431627;;false;;\N;2
3;22;2025-10-26T20:28:22.362491139;;false;;\N;2
4;49;2025-10-26T20:28:22.362514614;;false;;\N;3
5;49;2025-10-26T20:28:22.362531545;;false;;\N;3
6;18;2025-10-26T20:28:22.362548287;;false;;\N;4
7;44;2025-10-26T20:28:22.362565079;;false;;\N;5
8;18;2025-10-26T20:28:22.362625633;;false;;\N;6
9;34;2025-10-26T20:28:22.362656652;;false;;\N;6
10;50;2025-10-26T20:28:22.362676509;;false;;\N;6
11;1;2025-10-26T20:28:22.362757662;;false;;\N;7
12;34;2025-10-26T20:28:22.362785114;;false;;\N;7
13;45;2025-10-26T20:28:22.362803699;;false;;\N;7
14;41;2025-10-26T20:28:22.362822615;;false;;\N;8
15;21;2025-10-26T20:28:22.362839838;;false;;\N;8
16;1;2025-10-26T20:28:22.362855808;;false;;\N;8
17;45;2025-10-26T20:28:22.362871788;;false;;\N;9
18;43;2025-10-26T20:28:22.362891475;;false;;\N;9
19;3;2025-10-26T20:28:22.362916873;;false;;\N;10
20;25;2025-10-26T20:28:22.362955686;;false;;\N;10
