id;province_id;district_id;ward_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;condition_id
1;63;465;5564;2025-11-03T22:29:58.312131956;;false;;;1
2;46;131;3068;2025-11-03T22:29:58.329925743;;false;;;2
3;39;392;7588;2025-11-03T22:29:58.329979285;;false;;;3
4;22;381;5046;2025-11-03T22:29:58.330019011;;false;;;4
5;57;547;9257;2025-11-03T22:29:58.330053457;;false;;;4
6;9;28;6535;2025-11-03T22:29:58.330086811;;false;;;5
7;14;293;7333;2025-11-03T22:29:58.330120445;;false;;;5
8;44;21;5222;2025-11-03T22:29:58.330155823;;false;;;5
9;62;193;1036;2025-11-03T22:29:58.330264851;;false;;;6
10;57;330;9652;2025-11-03T22:29:58.330304356;;false;;;7
