id;promotion_id;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;1500;2025-10-26T20:28:22.349878606;;false;;\N
2;1501;2025-10-26T20:28:22.352994699;;false;;\N
3;1502;2025-10-26T20:28:22.353034885;;false;;\N
4;1503;2025-10-26T20:28:22.353052749;;false;;\N
5;1504;2025-10-26T20:28:22.353069340;;false;;\N
6;1505;2025-10-26T20:28:22.353086222;;false;;\N
7;1506;2025-10-26T20:28:22.353102162;;false;;\N
8;1507;2025-10-26T20:28:22.353117862;;false;;\N
9;1508;2025-10-26T20:28:22.353133652;;false;;\N
10;1509;2025-10-26T20:28:22.353148970;;false;;\N
