id;specific_date;weekday;created_at;updated_at;is_deleted;deleted_at;deleted_by;condition_id
1;2025-04-30;3;2025-10-26T20:28:22.364124122;;false;;\N;1
2;2025-06-15;7;2025-10-26T20:28:22.368048051;;false;;\N;1
3;2026-02-28;6;2025-10-26T20:28:22.368132330;;false;;\N;1
4;2025-09-13;6;2025-10-26T20:28:22.368176283;;false;;\N;2
5;2025-09-19;5;2025-10-26T20:28:22.368202262;;false;;\N;3
6;2025-08-26;2;2025-10-26T20:28:22.368223372;;false;;\N;3
7;2025-06-20;5;2025-10-26T20:28:22.368248990;;false;;\N;4
8;2025-09-03;3;2025-10-26T20:28:22.368272805;;false;;\N;4
9;2025-09-03;3;2025-10-26T20:28:22.368404344;;false;;\N;5
10;2026-01-06;2;2025-10-26T20:28:22.368435453;;false;;\N;5
11;2025-09-17;3;2025-10-26T20:28:22.368453306;;false;;\N;5
12;2025-11-23;7;2025-10-26T20:28:22.368474035;;false;;\N;6
13;2025-12-10;3;2025-10-26T20:28:22.368491639;;false;;\N;6
14;2025-10-16;4;2025-10-26T20:28:22.368510905;;false;;\N;7
15;2026-03-08;7;2025-10-26T20:28:22.368533187;;false;;\N;7
16;2025-10-15;3;2025-10-26T20:28:22.368594643;;false;;\N;8
17;2025-05-05;1;2025-10-26T20:28:22.368677319;;false;;\N;8
18;2025-07-25;5;2025-10-26T20:28:22.368705532;;false;;\N;8
