id;schedule_code;start_date;end_date;days_of_week;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;occasion_rule_id;route_id
1500;SCH_BUBNGBNHDN_BCLIUBCLIU;2025-10-30;2025-11-14;SAT,SUN,TUE,THU,WED,MON,FRI;true;2025-10-30 23:43:54;;false;;\N;1;1000
1501;SCH_NGHIQUNGBN_BINHANGNAI;2025-10-30;2025-11-14;SAT,SUN,THU;true;2025-10-30 23:43:54;;false;;\N;1;1001
1502;SCH_QUNGTRCHQU_BUNMATHUTK;2025-10-30;2025-11-14;TUE,FRI,MON,THU,WED;true;2025-10-30 23:43:54;;false;;\N;1;1002
1503;SCH_SIGN_CHUTHNHSCT;2025-10-30;2025-11-14;FRI,MON,TUE,THU,WED,SUN,SAT;true;2025-10-30 23:43:54;;false;;\N;1;1003
1504;SCH_BTRCHQUNGB_HLONGQUNGN;2025-10-30;2025-11-14;SUN,FRI,MON,WED,SAT;true;2025-10-30 23:43:54;;false;;\N;1;1004
1505;SCH_QUNGTRCHQU_HMTNBNHTHU;2025-10-30;2025-11-14;MON,THU,FRI,WED,SAT,TUE,SUN;true;2025-10-30 23:43:54;;false;;\N;1;1005
1506;SCH_BTRCHQUNGB_GIALCHIDNG;2025-10-30;2025-11-14;THU,SAT,SUN,MON;true;2025-10-30 23:43:54;;false;;\N;1;1006
1507;SCH_BNXECLINH_SIGN;2025-10-30;2025-11-14;MON,FRI,SAT,TUE,WED,SUN;true;2025-10-30 23:43:54;;false;;\N;1;1007
1508;SCH_QUNGTRCHQU_QUYNHNBNHN;2025-10-30;2025-11-14;MON,WED,THU;true;2025-10-30 23:43:54;;false;;\N;1;1008
1509;SCH_BNXECLINH_SIGN;2025-10-30;2025-11-14;TUE,MON,WED,SUN;true;2025-10-30 23:43:54;;false;;\N;1;1009
1510;SCH_QUNGTRCHQU_QUNGNGIQUN;2025-10-30;2025-11-14;FRI,TUE,THU;true;2025-10-30 23:43:54;;false;;\N;1;1010
1511;SCH_BNTREBNTRE_NGXOIBNHPH;2025-10-30;2025-11-14;SAT,THU,MON,TUE,WED,FRI,SUN;true;2025-10-30 23:43:54;;false;;\N;1;1011
1512;SCH_NGHIQUNGBN_THIBNHTHIB;2025-10-30;2025-11-14;SAT,MON,WED,FRI;true;2025-10-30 23:43:54;;false;;\N;1;1012
1513;SCH_SIGN_THINGUYNTH;2025-10-30;2025-11-14;FRI,THU,SAT,WED;true;2025-10-30 23:43:54;;false;;\N;1;1013
1514;SCH_BNXEBATRI_SIGN;2025-10-30;2025-11-14;SAT,WED,THU,TUE,SUN,FRI,MON;true;2025-10-30 23:43:54;;false;;\N;1;1014
1515;SCH_BNXEBATRI_SIGN;2025-10-30;2025-11-14;WED,TUE,THU,SAT,MON,FRI,SUN;true;2025-10-30 23:43:54;;false;;\N;1;1015
1516;SCH_BTRCHQUNGB_CTHIHIPHNG;2025-10-30;2025-11-14;MON,THU,SAT,SUN,FRI,WED,TUE;true;2025-10-30 23:43:54;;false;;\N;1;1016
